CODICE,DATA,CDCENTRASF,TIPO
1.0000000000000000e+00,"2005-05-15 00:00:00","CON","S"
2.0000000000000000e+00,"2005-03-13 00:00:00","CON","S"
2.0000000000000000e+00,"2005-05-15 00:00:00","CON","S"
2.0000000000000000e+00,"2005-09-11 00:00:00","MON","S"
2.0000000000000000e+00,"2006-02-18 00:00:00","MON","S"
2.0000000000000000e+00,"2006-02-19 00:00:00",,"S"
3.0000000000000000e+00,"2005-05-15 00:00:00","MON","S"
3.0000000000000000e+00,"2006-02-18 00:00:00","MON","S"
3.0000000000000000e+00,"2006-02-19 00:00:00",,"S"
4.0000000000000000e+00,"2005-09-11 00:00:00","MON","S"
4.0000000000000000e+00,"2006-09-17 00:00:00","MON","S"
4.0000000000000000e+00,"2008-03-30 00:00:00","MIU","S"
4.0000000000000000e+00,"2009-03-29 00:00:00","MIU","S"
4.0000000000000000e+00,"2010-01-10 00:00:00",,"S"
4.0000000000000000e+00,"2010-01-11 00:00:00","MIU","S"
6.0000000000000000e+00,"2012-08-30 00:00:00","MIU","S"
6.0000000000000000e+00,"2013-08-29 00:00:00","MIU","S"
6.0000000000000000e+00,"2014-07-06 00:00:00","MIU","S"
6.0000000000000000e+00,"2015-06-21 00:00:00","MIU","S"
6.0000000000000000e+00,"2016-05-22 00:00:00","MIU","S"
6.0000000000000000e+00,"2016-10-16 00:00:00","MIU","S"
6.0000000000000000e+00,"2017-02-12 00:00:00","MIU","S"
6.0000000000000000e+00,"2017-06-18 00:00:00","MIU","S"
6.0000000000000000e+00,"2017-10-22 00:00:00","MIU","S"
6.0000000000000000e+00,"2018-02-25 00:00:00","MIU","S"
6.0000000000000000e+00,"2018-12-30 00:00:00","MIU","S"
7.0000000000000000e+00,"2005-09-11 00:00:00","MON","S"
7.0000000000000000e+00,"2006-05-06 00:00:00",,"S"
7.0000000000000000e+00,"2008-07-06 00:00:00","MIU","S"
7.0000000000000000e+00,"2009-06-21 00:00:00","MIU","S"
7.0000000000000000e+00,"2010-04-11 00:00:00","MIU","S"
7.0000000000000000e+00,"2010-11-21 00:00:00","MIU","S"
7.0000000000000000e+00,"2011-05-22 00:00:00","MIU","S"
7.0000000000000000e+00,"2011-10-06 00:00:00","MIU","S"
7.0000000000000000e+00,"2012-01-15 00:00:00","MIU","S"
7.0000000000000000e+00,"2012-06-17 00:00:00","MIU","S"
7.0000000000000000e+00,"2012-11-11 00:00:00","MIU","S"
7.0000000000000000e+00,"2013-06-23 00:00:00","MIU","S"
7.0000000000000000e+00,"2013-11-24 00:00:00","MIU","S"
8.0000000000000000e+00,"2005-03-13 00:00:00","CON","S"
8.0000000000000000e+00,"2005-11-13 00:00:00","CON","S"
8.0000000000000000e+00,"2008-07-06 00:00:00","MIU","S"
8.0000000000000000e+00,"2009-02-15 00:00:00","MIU","S"
8.0000000000000000e+00,"2010-11-21 00:00:00","MIU","S"
8.0000000000000000e+00,"2011-02-20 00:00:00","MIU","S"
8.0000000000000000e+00,"2011-11-13 00:00:00","MIU","S"
8.0000000000000000e+00,"2012-09-30 00:00:00","MIU","S"
8.0000000000000000e+00,"2013-05-05 00:00:00","MIU","S"
8.0000000000000000e+00,"2014-02-23 00:00:00","MIU","S"
8.0000000000000000e+00,"2014-06-22 00:00:00","MIU","S"
8.0000000000000000e+00,"2015-04-19 00:00:00","MIU","S"
8.0000000000000000e+00,"2016-02-07 00:00:00","MIU","S"
8.0000000000000000e+00,"2016-06-19 00:00:00","MIU","S"
9.0000000000000000e+00,"2005-05-15 00:00:00","MON","S"
9.0000000000000000e+00,"2005-11-13 00:00:00","CON","S"
9.0000000000000000e+00,"2008-07-06 00:00:00","MIU","S"
9.0000000000000000e+00,"2009-02-15 00:00:00","MIU","S"
9.0000000000000000e+00,"2010-05-23 00:00:00",,"S"
9.0000000000000000e+00,"2010-05-24 00:00:00","MIU","S"
9.0000000000000000e+00,"2011-01-16 00:00:00","MIU","S"
9.0000000000000000e+00,"2012-05-06 00:00:00","MIU","S"
9.0000000000000000e+00,"2017-05-11 00:00:00","MON","S"
1.0000000000000000e+01,"2005-09-11 00:00:00","MON","S"
1.0000000000000000e+01,"2008-09-28 00:00:00","MIU","S"
